No;Kaynak;Tus / Oge;Ne yapiyor;AHK'de nereye ait;Aktarildi mi;Python'da nereye ait;Ayni isi mi yapiyor;SENIN NOTUN;Oncelik
25;AutoHotkey.ahk;~RButton;handleRButton;fare;KISMEN;RButton yalniz wheel oneki;kismen;;
26;AutoHotkey.ahk;~MButton & WheelUp/Down;Ctrl+Plus / Ctrl+Minus (zoom);fare;YOK;-;-;;
27;AutoHotkey.ahk;RButton & WheelUp/Down;Volume Up/Down;fare;VAR;keymap ayni;evet;;
28;AutoHotkey.ahk;~RButton Up;Wheel kullanildiysa Esc gonder;fare;KISMEN;dispatch gercek basim enjekte;farkli cozum ayni amac;;
29;AutoHotkey.ahk;#a / #s / #d / #w;Fareyi 10px oynat;klavye;YOK;-;-;;
30;AutoHotkey.ahk;#q / #e;Sol / sag tik;klavye;YOK;-;-;;
31;AutoHotkey.ahk;#y;Enter;klavye;YOK;-;-;;
32;AutoHotkey.ahk;NumpadIns & NumpadDel;Alt+Tab;PROFIL: home;YOK;-;-;;
33;AutoHotkey.ahk;NumpadDel & NumpadIns;Alt+Shift+Tab;PROFIL: home;YOK;-;-;;
34;AutoHotkey.ahk;NumpadIns / NumpadDel / NumpadClear;J / L / K;PROFIL: home;YOK;-;-;;
35;AutoHotkey.ahk;Ctrl+<;Ctrl+Shift+K (VSCode satir sil);global;KISMEN;F18 & LButton;ayni is farkli tus;;
36;AutoHotkey.ahk;Alt+v;Panoyu yavas yaz (SetKeyDelay 520);global;YOK;-;-;;
37;AutoHotkey.ahk;AppsKey & a;Bos callback (tooltip);PROFIL: work;YOK;-;work callback;;
38;AutoHotkey.ahk;~F14 & WheelUp/Down;Volume +/-;fare;VAR;keymap ayni;evet;;
39;AutoHotkey.ahk;~F13 & WheelUp/Down;Win+NumpadAdd/Sub (buyutec);fare;VAR;keymap ayni + jest;evet;;
40;AutoHotkey.ahk;~F13 & i;Pano gorsel gecmisi;fare;KISMEN;clip.images sadece menuden;tus yok;;
41;AutoHotkey.ahk;~F13 & o;OCR snipInteractive;fare;KISMEN;F14 surukleme;tus farkli;;
42;AutoHotkey.ahk;F13 & F14  /  F14 & F13;Buyutec zoom +/-;AHK'de yok;YENI;keymap;Python'da yeni;;
43;AutoHotkey.ahk;F13 & F15..F20;Slot 1-6 yapistir;AHK'de F14 kombolari;VAR;keymap slot.paste:N;F13'e tasindi;;
44;AutoHotkey.ahk;F13 + fare yonu;Jest: dikey buyutec, yatay ses;hot_vectors.ahk;KISMEN;build_gestures;benzer;;
45;AutoHotkey.ahk;ScrollLock;Demo kaskad;AHK'de yok;YENI;demo_cascade;Python'da yeni;;
46;menus.ahk / F13;Clipboard history;Pano gecmisi alt menusu;showF13menu;VAR;F13_MENU clip.filter;menu degil pencere;;
47;menus.ahk / F13;Clipboard history win;Win+v;showF13menu;VAR;F13_MENU send_key:#v;evet;;
48;menus.ahk / F13;Select screenshot;Win+Shift+s;showF13menu;VAR;F13_MENU send_key:#+s;evet;;
49;menus.ahk / F13;Window screenshot;Alt+PrintScreen;showF13menu;VAR;F13_MENU;evet;;
50;menus.ahk / F13;Select text with OCR;Win+Shift+t;showF13menu;VAR;F13_MENU;evet;;
51;menus.ahk / F13;OCR Gelismis;ScreenOcr.snipInteractive();showF13menu;KISMEN;snip ACTIONS ocr_adv;beyaz ekran bugu DUZELTILDI;;
52;menus.ahk / F13;OCR Basit;snip(plain);showF13menu;KISMEN;snip ACTIONS ocr;evet;;
53;menus.ahk / F13;Clipboard images;Gorsel gecmisi;showF13menu;VAR;clip.images;evet;;
54;menus.ahk / F13;App profile blogu;app_shorts kisayollari;showF13menu;YOK;yok:app_shorts.ahk;port edilmedi;;
55;menus.ahk / F13;Repository GUI;Kod parcasi deposu;showF13menu;YOK;yok:repository.ahk;port edilmedi;;
56;menus.ahk / F13;Incognito modu;Pano gecmisini kapat;showF13menu;YOK;yok:incognito.ahk;port edilmedi;;
57;menus.ahk / F13;Always on top blogu;Pencere sabitle;showF13menu;YOK;-;-;;
58;menus.ahk / F13;Buyutec ac/kapa;magnifier.toggle;AHK'de yok;YENI;F13_MENU;Python'da yeni;;
59;menus.ahk / F13;Slotlar...;menu.slots;AHK'de F14'te;VAR;F13_MENU;F13'e tasindi;;
60;menus.ahk / F14;Unformatted paste;Ctrl+Shift+v;showF14menu;VAR;SPECIAL_KEYS_MENU (F13 altinda);menu yeri degisti;;
61;menus.ahk / F14;Macro recorder;showButtons;showF14menu;YOK;yok:macro_recorder.ahk;-;;
62;menus.ahk / F14;Memory clip;MemSlots.start;showF14menu;VAR;memslots.start;evet;;
63;menus.ahk / F14;System > Reload;reloadScript;subMenuSet;VAR;SYSTEM_MENU app.restart;evet;;
64;menus.ahk / F14;System > Pause script;DialogPauseGui;subMenuSet;VAR;app.pause;evet;;
65;menus.ahk / F14;System > Show KeyHistoryLoop;KeyHistory;subMenuSet;KISMEN;app.monitor;benzer;;
66;menus.ahk / F14;System > Settings;SettingsDialog.show;subMenuSet;YOK;-;-;;
67;menus.ahk / F14;System > Show stats;getStatsArray;subMenuSet;KISMEN;errors.show;kismen;;
68;menus.ahk / F14;System > Copy last error;copyLastError;subMenuSet;VAR;errors.copy;evet;;
69;menus.ahk / F14;Special keys > Enter/Backspace/Delete/Esc;Send;subMenuKey;VAR;SPECIAL_KEYS_MENU;evet;;
70;menus.ahk / F14;Special keys > Select All + Cut;Ctrl+a Ctrl+x;subMenuKey;VAR;send_keys;evet;;
71;menus.ahk / F14;Search in slots;showSlotsSearch;showF14menu;KISMEN;menu.slots;kismen;;
72;menus.ahk / F14;Slot ogeleri / Save to slot;ClipSlot;showF14menu;KISMEN;slot.paste:N + menu.slots;kismen;;
73;menus.ahk / F14;Side slot gruplari;Yeni grup / notepad / grup sec-sil;buildSideSlotMenu;YOK;-;grup mantigi hic yok;;
74;menus.ahk / F14;Busy kilidini ac;busy.free;AHK'de yok;YENI;SYSTEM_MENU;Python'da yeni;;
75;menus.ahk / altyapi;DialogPauseGui;Duraklat penceresi;menus.ahk;VAR;app.pause;evet;;
76;menus.ahk / altyapi;DialogCriticalError;Kritik hata dialogu;menus.ahk;YOK;-;-;;
77;menus.ahk / altyapi;ShowTip / TipType;Imlec yani balon;menus.ahk;VAR;ui/tip.py;evet;;
78;menus.ahk / altyapi;MENU_COL / menuIcon / setMenuDefault;Kolon kirma, ikon, kalin oge;menus.ahk;KISMEN;win32/menu.py + emoji;kolon kirma yok;;
79;HATA;F13/F14 menusu tiklama gitmiyor;QMenu foreground olamiyordu;-;DUZELTILDI;win32/menu.py TrackPopupMenu;gercek Windows menusu;;
80;HATA;F14 basili tutunca secim yapmiyor;Secim LButton'a birakilmisti;-;DUZELTILDI;snip.start(key_vk) + _poll_key;F14 ile secim;;
81;HATA;OCR Gelismis secince ekran beyaz;Session modunda bos alan boyanmiyordu;-;DUZELTILDI;snip WA_TranslucentBackground;saydam;;
82;HATA;Secim sirasinda tekerlek sesi degistiriyor;ui_open keyup yutuyor, F14 basili kaliyordu;-;DUZELTILDI;dispatch ui_open setter -> reset();AHK acikken AHK de yapar;;
83;HATA;F14 secim capasi yanlis yerde;Pencere acilirken self.width() eski deger;-;DUZELTILDI;dispatch {x},{y} + snip _resolve_anchor;secim basma noktasindan baslar;;
84;HATA;OCR+ alan degisince alakasiz metin;Yeniden yakalamada OCR paneli kadraja giriyordu;-;DUZELTILDI;snip hide_others + app _hide_over_snip;panel gizlenip cekiliyor;;
85;HATA;Secim ortasindan tutup tasima calismiyor;Saydam piksel tiklamayi alta geciriyordu;-;DUZELTILDI;snip SESSION_FILL alfa 1;ic alan tiklanabilir;;
86;YENI;Acilista makine profili gosterimi;home / work bildirimi + tepsi ipucu;AHK LoadSettings A_ComputerName;EKLENDI;keymap.current_profile + app.on_start;AHK ile ayni olcut;;
87;PORT;app_shorts.ahk;Pencereye ozel kisayol profilleri;Files/profiles.json;EKLENDI;cascade/app_shorts.py + F13 menu blogu;GUI yerine JSON duzenleme;;
